order_id,customer_id,order_date,category,payment_method,delivery_method,order_value,discount_pct,size_mismatch_risk,signup_date,returned,cust_prior_orders,cust_prior_returns,cust_prior_return_rate,cust_prior_return_rate_smoothed,cust_prior_avg_order_value,days_since_prev_order,account_age_days,cat_prior_orders,cat_prior_returns,cat_prior_return_rate,order_value_vs_cust_avg
34096,1,2024-06-16,apparel,cod,standard,1548.17,0.312,0,2023-01-02,0,0,0.0,0.0,0.2,1474.665,9999.0,531,3821,1817.0,0.4748107543722266,1.0498452190836565
44885,1,2024-06-17,apparel,cod,standard,625.08,0.508,0,2023-01-02,0,1,0.0,0.0,0.16666666666666666,1548.17,1.0,532,3850,1837.0,0.47642487046632126,0.4037541096907962
51946,1,2024-07-05,accessories,card,standard,545.26,0.147,0,2023-01-02,0,2,0.0,0.0,0.14285714285714285,1086.625,18.0,550,1615,2202.0,1.3563076923076922,0.5017922466352237
45916,1,2025-04-21,accessories,netbanking,standard,1277.28,0.155,0,2023-01-02,0,3,0.0,0.0,0.125,906.1700000000001,290.0,840,3993,891.0,0.22308268798401198,1.4095368418729377
27648,1,2025-07-19,electronics,card,express,22315.16,0.193,0,2023-01-02,0,4,0.0,0.0,0.1111111111111111,998.9475,89.0,929,7517,1183.0,0.15743324033479475,20.0
36792,1,2025-09-16,home,upi,standard,1111.87,0.309,0,2023-01-02,0,5,0.0,0.0,0.1,5262.1900000000005,59.0,988,7057,130.0,0.01867836422810245,0.21129415699547144
55453,1,2025-11-27,electronics,wallet,express,2004.1,0.207,0,2023-01-02,0,6,0.0,0.0,0.09090909090909091,4570.47,72.0,1060,9174,725.0,0.07915940766550522,0.43848882062457467
7897,2,2024-08-19,electronics,card,standard,11484.64,0.064,0,2023-08-06,0,0,0.0,0.0,0.2,1474.665,9999.0,379,3054,3110.0,1.0156657963446476,7.787965402311711
49328,2,2024-10-14,electronics,cod,standard,12431.83,0.137,0,2023-08-06,0,1,0.0,0.0,0.16666666666666666,11484.64,56.0,435,3797,52.0,0.014184397163120567,1.0824745050780868
34064,2,2024-10-16,footwear,cod,express,2253.58,0.591,0,2023-08-06,0,2,0.0,0.0,0.14285714285714285,11958.235,2.0,437,3256,57.0,0.018064911206368647,0.18845423258532717
40457,2,2024-11-08,apparel,upi,standard,751.42,0.231,0,2023-08-06,0,3,0.0,0.0,0.125,8723.35,23.0,460,7174,182.0,0.025612472160356347,0.08613892598600308
57700,2,2025-01-29,apparel,cod,standard,712.42,0.073,0,2023-08-06,0,4,0.0,0.0,0.1111111111111111,6730.367499999999,82.0,542,9048,42.0,0.004857584455729742,0.10585157496971748
22018,2,2025-07-29,apparel,cod,standard,1194.95,0.447,0,2023-08-06,0,5,0.0,0.0,0.1,5526.778,181.0,723,13288,1335.0,0.1005414348022259,0.21621096414583688
51191,2,2025-08-07,apparel,upi,standard,1207.94,0.29,0,2023-08-06,0,6,0.0,0.0,0.09090909090909091,4804.806666666666,9.0,732,13502,1495.0,0.11079040852575489,0.2514024150815642
