customer_id,signup_date
1,2023-01-02
2,2023-08-06
3,2023-04-28
4,2023-05-10
5,2023-09-07
6,2023-05-20
7,2022-12-06
8,2023-07-10
9,2022-12-07
10,2023-10-30
11,2023-12-10
12,2023-10-27
13,2023-05-11
14,2023-05-11
15,2023-07-19
16,2023-11-01
17,2023-09-24
18,2023-06-03
19,2023-10-17
20,2023-05-13
21,2023-09-30
22,2023-03-04
23,2023-05-27
24,2023-10-24
25,2023-03-05
26,2023-08-02
27,2023-03-19
28,2023-05-18
29,2023-04-05
30,2023-08-18
31,2023-09-25
32,2023-11-06
33,2023-04-18
34,2023-02-14
35,2023-12-04
36,2023-05-02
37,2023-08-14
38,2023-04-28
39,2023-10-26
40,2022-12-27
41,2022-12-12
42,2023-04-09
43,2023-05-11
44,2023-09-27
45,2023-06-03
46,2023-03-08
47,2022-12-27
48,2023-10-17
49,2023-06-18
50,2023-12-14
51,2023-04-08
52,2023-02-24
53,2023-03-15
54,2023-05-09
55,2023-01-22
56,2023-01-18
57,2023-10-10
58,2023-08-30
59,2023-06-15
60,2023-06-07
61,2023-06-13
62,2023-07-20
63,2023-03-21
64,2023-10-04
65,2022-11-30
66,2023-10-03
67,2023-10-10
68,2023-06-21
69,2023-03-25
70,2023-11-14
71,2023-10-20
72,2023-12-04
73,2022-12-03
74,2023-08-06
75,2022-11-29
76,2022-12-12
77,2022-12-21
78,2023-10-03
79,2023-09-13
80,2023-11-18
81,2023-08-07
82,2023-07-07
83,2023-02-07
84,2023-09-03
85,2023-11-26
86,2023-04-18
87,2023-09-01
88,2023-06-15
89,2023-06-23
90,2023-10-12
91,2023-03-23
92,2023-11-12
93,2023-12-26
94,2023-01-12
95,2023-06-19
96,2022-12-03
97,2023-04-11
98,2023-04-25
99,2023-08-19
100,2023-05-02
101,2023-04-20
102,2023-10-02
103,2023-09-26
104,2022-11-30
105,2023-04-10
106,2023-09-28
107,2023-01-07
108,2023-06-29
109,2023-06-11
110,2023-09-02
111,2023-08-24
112,2023-06-18
113,2023-05-11
114,2023-10-09
115,2023-04-28
116,2023-05-20
117,2023-05-13
118,2023-04-14
119,2023-08-05
120,2023-08-08
121,2023-11-21
122,2023-05-23
123,2023-09-27
124,2023-03-28
125,2023-12-17
126,2023-11-27
127,2023-07-21
128,2023-09-12
129,2023-07-16
130,2023-02-13
131,2023-12-08
132,2023-09-19
133,2023-05-13
134,2023-03-07
135,2023-08-21
136,2023-05-18
137,2023-10-24
138,2023-02-21
139,2023-06-23
140,2023-01-11
141,2023-09-08
142,2023-05-05
143,2023-02-12
144,2023-07-07
145,2023-07-13
146,2023-03-27
147,2023-12-07
148,2022-12-27
149,2023-04-09
150,2023-03-06
151,2023-12-02
152,2023-03-05
153,2023-02-23
154,2023-07-21
155,2023-03-11
156,2023-03-19
157,2023-03-05
158,2023-06-28
159,2023-09-22
160,2023-06-03
161,2023-11-17
162,2023-03-13
163,2023-10-30
164,2023-09-19
165,2022-12-26
166,2023-08-21
167,2023-12-29
168,2023-08-26
169,2023-03-10
170,2023-05-19
171,2023-11-09
172,2023-04-02
173,2023-06-05
174,2023-07-21
175,2023-10-24
176,2023-12-15
177,2023-09-04
178,2023-05-19
179,2023-05-10
180,2023-08-20
181,2022-12-26
182,2023-05-22
183,2023-04-18
184,2023-12-05
185,2023-11-04
186,2023-03-12
187,2023-08-16
188,2023-05-29
189,2023-10-25
190,2023-06-12
191,2023-08-10
192,2023-09-14
193,2023-10-22
194,2023-09-11
195,2023-03-25
196,2023-09-18
197,2023-04-02
198,2023-09-16
199,2023-12-11
200,2023-06-02
201,2023-11-18
202,2023-01-28
203,2023-05-16
204,2023-11-10
205,2023-09-15
206,2023-04-05
207,2023-06-15
208,2023-01-10
209,2023-10-19
210,2023-01-17
211,2023-07-10
212,2023-06-12
213,2023-08-01
214,2023-05-16
215,2022-12-31
216,2023-08-19
217,2023-11-19
218,2023-07-29
219,2022-12-14
220,2023-01-08
221,2023-03-16
222,2023-03-25
223,2023-01-15
224,2023-11-20
225,2023-09-17
226,2023-09-29
227,2023-12-17
228,2023-11-10
229,2023-02-03
230,2022-12-05
231,2023-09-14
232,2023-11-26
233,2023-09-03
234,2023-11-06
235,2023-07-28
236,2023-05-26
237,2023-01-18
238,2023-08-23
239,2023-03-23
240,2023-03-15
241,2023-11-12
242,2023-08-17
243,2023-05-23
244,2023-10-12
245,2023-09-16
246,2023-06-08
247,2023-12-23
248,2022-12-08
249,2023-06-12
250,2023-05-12
251,2023-01-14
252,2023-09-12
253,2023-01-06
254,2023-09-04
255,2023-09-24
256,2023-06-09
257,2023-03-04
258,2023-12-26
259,2023-09-05
260,2023-01-12
261,2023-09-17
262,2023-01-29
263,2023-08-03
264,2023-03-10
265,2023-08-07
266,2023-10-14
267,2023-10-06
268,2023-09-28
269,2023-09-05
270,2023-10-02
271,2023-11-22
272,2023-11-13
273,2023-10-01
274,2023-05-23
275,2023-03-24
276,2023-04-03
277,2023-07-30
278,2023-07-25
279,2023-05-16
280,2023-05-09
281,2023-09-13
282,2023-06-24
283,2022-12-04
284,2023-01-22
285,2023-04-08
286,2023-05-04
287,2023-09-16
288,2023-06-04
289,2023-05-16
290,2022-12-31
291,2022-12-21
292,2023-12-29
293,2023-11-06
294,2022-12-12
295,2023-05-27
296,2023-11-29
297,2023-09-07
298,2022-12-29
299,2023-05-17
300,2023-11-05
301,2023-03-26
302,2023-07-04
303,2023-04-05
304,2023-02-13
305,2023-11-05
306,2023-02-27
307,2023-07-18
308,2023-04-16
309,2023-07-30
310,2023-10-10
311,2023-07-06
312,2023-01-24
313,2023-03-21
314,2023-03-03
315,2023-08-29
316,2023-08-31
317,2023-01-23
318,2023-07-30
319,2023-05-31
320,2023-05-14
321,2023-11-05
322,2022-12-21
323,2023-09-13
324,2023-07-08
325,2023-03-10
326,2023-02-26
327,2023-01-31
328,2023-07-29
329,2023-08-16
330,2023-03-16
331,2023-04-28
332,2023-12-24
333,2023-09-05
334,2023-07-21
335,2023-01-13
336,2023-07-13
337,2023-05-03
338,2023-10-27
339,2023-02-11
340,2023-12-29
341,2023-12-08
342,2023-10-04
343,2023-06-15
344,2023-07-22
345,2023-11-24
346,2023-11-07
347,2023-10-16
348,2023-02-07
349,2023-05-09
350,2023-09-28
351,2023-01-15
352,2023-08-25
353,2023-04-19
354,2023-07-10
355,2023-11-29
356,2023-11-08
357,2023-04-23
358,2023-09-06
359,2022-12-01
360,2023-09-09
361,2023-01-21
362,2023-11-25
363,2023-03-26
364,2023-09-02
365,2023-08-20
366,2023-03-09
367,2023-10-28
368,2023-02-08
369,2023-11-22
370,2023-06-20
371,2023-06-01
372,2023-02-28
373,2022-11-30
374,2023-09-02
375,2023-09-15
376,2023-10-30
377,2023-12-17
378,2023-03-23
379,2023-07-11
380,2023-11-27
381,2023-07-11
382,2023-09-21
383,2023-09-08
384,2023-12-27
385,2023-04-12
386,2023-02-14
387,2023-11-28
388,2023-05-30
389,2023-02-12
390,2023-08-10
391,2023-11-02
392,2023-09-28
393,2023-04-10
394,2023-11-26
395,2022-12-13
396,2023-11-18
397,2023-02-08
398,2023-03-01
399,2023-04-01
400,2023-05-14
401,2022-12-16
402,2023-09-10
403,2023-01-18
404,2023-01-18
405,2022-11-28
406,2023-12-15
407,2022-12-16
408,2023-09-21
409,2023-08-07
410,2023-10-24
411,2023-05-26
412,2023-11-24
413,2023-06-03
414,2023-02-06
415,2023-11-22
416,2023-05-14
417,2022-11-29
418,2023-08-14
419,2023-04-04
420,2023-10-21
421,2023-01-27
422,2023-09-18
423,2023-10-25
424,2023-01-14
425,2023-07-18
426,2023-08-12
427,2023-11-30
428,2023-03-24
429,2023-06-09
430,2023-05-08
431,2023-04-25
432,2023-12-29
433,2023-08-16
434,2023-01-28
435,2023-11-07
436,2023-01-07
437,2023-11-12
438,2023-05-09
439,2023-08-24
440,2023-11-07
441,2023-11-10
442,2023-01-30
443,2023-05-08
444,2022-12-28
445,2023-08-11
446,2023-05-13
447,2023-12-31
448,2023-08-06
449,2023-05-21
450,2023-01-27
451,2023-03-21
452,2023-10-14
453,2023-01-23
454,2023-10-31
455,2023-07-25
456,2023-06-24
457,2023-06-05
458,2022-12-09
459,2023-02-25
460,2023-06-21
461,2023-06-09
462,2023-02-20
463,2023-10-14
464,2023-05-24
465,2023-05-01
466,2023-09-26
467,2023-01-25
468,2022-12-18
469,2023-04-05
470,2022-11-27
471,2023-04-24
472,2023-01-19
473,2023-08-17
474,2022-12-15
475,2023-02-17
476,2023-03-11
477,2023-07-23
478,2023-05-07
479,2023-09-30
480,2023-10-04
481,2023-04-30
482,2022-12-09
483,2023-12-16
484,2023-04-16
485,2023-06-30
486,2023-12-03
487,2023-08-14
488,2023-07-15
489,2023-04-11
490,2023-10-23
491,2023-02-12
492,2023-06-08
493,2023-04-15
494,2023-01-04
495,2023-03-17
496,2023-02-09
497,2023-01-02
498,2023-09-26
499,2023-09-07
500,2023-11-07
501,2022-12-09
502,2023-06-02
503,2023-08-18
504,2023-06-11
505,2022-12-07
506,2023-05-26
507,2023-01-15
508,2022-12-04
509,2023-09-15
510,2023-01-04
511,2023-03-26
512,2023-12-28
513,2023-12-11
514,2022-12-13
515,2023-05-06
516,2023-04-15
517,2023-08-02
518,2023-08-30
519,2022-12-27
520,2023-05-15
521,2023-03-18
522,2023-12-25
523,2023-03-23
524,2022-12-10
525,2023-08-03
526,2023-11-11
527,2023-10-21
528,2023-01-19
529,2023-09-20
530,2023-02-16
531,2023-01-23
532,2023-06-26
533,2023-10-15
534,2023-11-10
535,2023-08-01
536,2023-05-11
537,2023-07-19
538,2023-03-24
539,2023-01-20
540,2023-05-06
541,2023-02-02
542,2023-01-03
543,2023-09-21
544,2023-10-28
545,2023-09-22
546,2023-11-28
547,2023-06-08
548,2023-08-24
549,2023-02-16
550,2023-05-23
551,2023-01-06
552,2023-07-30
553,2023-05-20
554,2023-07-05
555,2023-11-03
556,2022-12-17
557,2023-05-24
558,2023-05-03
559,2023-09-19
560,2023-08-16
561,2023-09-11
562,2023-11-01
563,2023-03-26
564,2023-04-19
565,2023-04-14
566,2023-10-20
567,2023-05-31
568,2023-09-25
569,2023-03-05
570,2023-12-03
571,2023-06-08
572,2023-12-27
573,2023-05-24
574,2022-12-13
575,2023-03-12
576,2023-05-20
577,2023-01-19
578,2023-10-02
579,2023-04-15
580,2023-10-22
581,2023-12-17
582,2022-12-30
583,2023-03-18
584,2023-07-27
585,2023-11-08
586,2023-11-21
587,2023-02-12
588,2023-02-25
589,2023-02-14
590,2023-04-14
591,2023-07-29
592,2023-05-03
593,2023-09-13
594,2023-05-03
595,2023-07-20
596,2023-07-09
597,2023-03-08
598,2022-12-21
599,2023-02-23
600,2023-10-04
601,2023-09-21
602,2023-01-15
603,2023-04-29
604,2023-10-18
605,2023-10-15
606,2022-12-03
607,2023-10-07
608,2023-10-07
609,2023-01-12
610,2023-04-18
611,2022-12-18
612,2023-08-16
613,2023-11-06
614,2023-02-06
615,2023-04-16
616,2023-06-29
617,2022-12-25
618,2023-03-26
619,2023-02-21
620,2022-11-28
621,2023-08-21
